7974.2 1:22.8709213584 2:22.5735705334 3:123.4204990903 4:22.0762157775 5:22.2286118285 6:149.0176953815 7:65.5879635633 8:106.9783060764 9:109.9548770288 10:20.5643336012 11:75.2355372984 12:99.2952741771 13:84.7099856417 14:77.4177190208 15:97.1154852473 16:72.1961214912 17:70.6875384376 18:105.953883645 19:63.0816564704 20:91.3734265362 21:84.6193580776 22:67.8229538507 23:74.8507593913 24:76.2122186867 
20000 1:20 2:20 3:119.2403897836 4:20 5:20 6:218.715046141 7:121.3214880869 8:124.3019670536 9:127.0372864597 10:20 11:20 12:142.4913035347 13:117.3247649312 14:88.2681427498 15:108.2686687489 16:77.172152185 17:75.3250294159 18:138.4288066291 19:80.7390619039 20:111.520548648 21:100.6044049674 22:66.0740241585 23:72.9252467787 24:88.5550240094 
19662.1 1:23.8281836856 2:23.1385213133 3:110.2687975519 4:20.3350874911 5:24.5378033644 6:249.121166607 7:87.6917328122 8:102.7086070168 9:107.7273267766 10:21.9930057829 11:20.1622776602 12:118.1124581363 13:86.3125986082 14:68.0551609272 15:109.960339753 16:63.1960923777 17:66.0093713372 18:124.2026071635 19:68.7619096756 20:84.4476238296 21:79.4710192623 22:58.707913761 23:64.8645198817 24:82.8119498712 
8986.2 1:21.908359467 2:20.307764064 3:105.1394058484 4:22.8243590359 5:21.3791386624 6:205.6757818797 7:98.2857336572 8:95.5743163538 9:91.7610362734 10:21.5397655256 11:108.1427680294 12:128.1024115321 13:88.4444469269 14:82.6365650496 15:138.5471984402 16:82.3168947324 17:83.6215518135 18:138.0314202647 19:86.5141017848 20:107.5897920747 21:97.9883960076 22:71.4192040883 23:70.9554400904 24:90.3168303618 
18406.5 1:20 2:20 3:95.1717693307 4:20 5:20 6:170.4337931264 7:111.5596316262 8:118.7163348518 9:136.8242159761 10:21.1835337127 11:93.4048996688 12:132.3413185142 13:107.6464972345 14:101.1708462369 15:140.6544259016 16:93.0317880689 17:95.1988982459 18:173.6596457414 19:90.2944318028 20:121.3528464896 21:114.4517186661 22:83.1019024838 23:79.046667232 24:108.0291257563 
18014.6 1:20 2:20 3:121.6690775393 4:20 5:20 6:240.8251968386 7:114.8334331855 8:75.6432747665 9:146.6472031797 10:20 11:51.9979442584 12:146.6838534603 13:118.2657965204 14:113.6235010677 15:119.7219899335 16:107.3664464202 17:101.0582583154 18:164.3337298537 19:103.6300441439 20:105.8249197315 21:112.230305038 22:83.6049508444 23:84.0530613044 24:109.1340949826 
17498.3 1:20 2:20 3:148.9978564497 4:20 5:20 6:200.990777617 7:129.2197605702 8:76.3915011174 9:185.6443583397 10:20 11:20 12:182.0950645284 13:122.8372547438 14:111.5928602392 15:100.7390264308 16:105.2594934903 17:101.1833309494 18:159.8881267511 19:95.1296203244 20:120.705613321 21:106.5110517474 22:77.7110631189 23:86.3586023395 24:117.3001650792 
18408.5 1:20 2:20 3:129.2080263047 4:20 5:20 6:214.204033713 7:117.4435150145 8:64.2634260196 9:185.8290935161 10:20 11:20 12:144.7005180791 13:114.8559799061 14:107.1028492277 15:96.1344598509 16:100.7597124843 17:95.6423470234 18:161.9088260423 19:87.2284815863 20:106.4825060821 21:107.828799466 22:81.1635073967 23:84.7700430019 24:105.1954857742 
17701.6 1:20 2:20 3:118.9483606594 4:20 5:20 6:238.8321316606 7:100.386671441 8:48.1115515583 9:195.6418689652 10:20 11:20 12:108.4676961346 13:114.6635765747 14:108.4009118229 15:119.5017610781 16:109.6247287175 17:109.1413140028 18:167.7187738208 19:96.2641650811 20:103.1332825936 21:112.0892496892 22:77.3679116521 23:74.9364991788 24:99.4700458895 
17560.4 1:20 2:20 3:113.8555728388 4:20 5:20 6:272.5334219421 7:95.3358102947 8:61.2570376934 9:214.8151923105 10:20 11:20 12:138.7786319724 13:124.9080200962 14:102.671291934 15:110.2952971119 16:88.7280217129 17:98.6520515562 18:157.6819216237 19:92.4508462301 20:94.4482014206 21:116.7918584051 22:75.4596128678 23:78.6204727198 24:99.4105418961 
12128.8 1:20 2:20 3:168.9662596152 4:20 5:20 6:282.899065527 7:97.3600234695 8:73.6942700472 9:193.6984733886 10:20 11:20 12:115.5478724708 13:123.296074641 14:85.6488041125 15:119.2407521155 16:76.4007469112 17:86.3175773084 18:140.7015579241 19:77.5661405023 20:107.0996530878 21:104.7511628968 22:70.2571000766 23:74.2868609883 24:96.6192461406 
12460.7 1:20 2:20 3:174.6016213868 4:20 5:20 6:262.2088216527 7:97.1551922557 8:83.1337969654 9:173.2061376193 10:20 11:20 12:137.4017200899 13:131.5269687229 14:102.1903731557 15:114.289016711 16:88.5001334835 17:91.5866993637 18:156.334344386 19:85.4549695785 20:111.6264358423 21:101.8968648834 22:80.2880983749 23:82.8650859554 24:96.2931052488 
15419 1:20 2:20 3:162.0848107882 4:20 5:20 6:235.0614954681 7:105.8844618651 8:99.9087385225 9:176.2204738977 10:20 11:20 12:191.21357041 13:133.7296849274 14:103.3989545638 15:114.4815982341 16:87.1524191304 17:88.8844360486 18:163.736542591 19:84.6639819037 20:124.16538879 21:102.2455619616 22:79.3910446331 23:81.1827942219 24:105.3673646411 
17103.7 1:20 2:20 3:144.922439383 4:20 5:20 6:214.9381513522 7:97.8395103617 8:94.9314655494 9:122.6031849939 10:20 11:20 12:180.1260112307 13:105.5217737505 14:98.0893040727 15:116.4251230345 16:86.1584604641 17:82.9024175361 18:149.8898394547 19:78.5525776346 20:115.8653084804 21:93.5084306289 22:71.0962202888 23:73.516242062 24:99.3034473692 
3540.3 1:21.256587641 2:22.6209720614 3:107.4665291154 4:20.7029668798 5:20.6464619809 6:136.5754818272 7:36.8955135209 8:83.0288589887 9:90.802637424 10:20 11:58.4470542077 12:89.8669122881 13:48.6382935129 14:60.6490386254 15:95.9869829173 16:51.6652649529 17:55.0853443847 18:121.2004449617 19:40.4820305464 20:67.6593077319 21:38.3396037791 22:47.265794864 23:54.827270982 24:80.1105164189 
7330.2 1:20 2:20 3:92.9584497652 4:20 5:20 6:230.070909583 7:57.7689242779 8:65.4837868707 9:140.9834773835 10:20 11:20 12:117.230434662 13:74.8640488924 14:64.300008445 15:115.612318654 16:59.4583976127 17:67.0578621598 18:142.9722930865 19:55.3719866562 20:78.5931513653 21:75.7325141871 22:60.6000586424 23:74.2384669002 24:103.356656824 
7035.1 1:20 2:20 3:145.2180754898 4:20 5:20 6:228.8066929292 7:54.5708419061 8:87.8296757069 9:147.5299854636 10:20 11:20 12:164.4542004367 13:80.4763407784 14:62.5636391943 15:81.7785976342 16:57.3118692156 17:64.2353419033 18:136.6962630696 19:54.7028135124 20:108.5474858068 21:74.1325897341 22:59.442677981 23:71.7809898206 24:104.4030164833 
6795.5 1:20 2:20 3:116.9137839878 4:20 5:20 6:249.4959245504 7:55.0388320481 8:62.8050109496 9:142.7595616028 10:20 11:20 12:124.1311029154 13:85.8106589132 14:64.9117507566 15:105.5367169205 16:59.107564698 17:63.4170848143 18:140.8616949411 19:56.8219816935 20:72.2888404227 21:79.4166538515 22:57.3063586381 23:62.7890885391 24:95.268605637 
12533 1:20 2:20 3:114.2192154484 4:20 5:20 6:246.6743091486 7:87.9207879619 8:71.1944043989 9:156.1741597851 10:20 11:20 12:117.0978185317 13:113.9003798506 14:99.1537020858 15:158.4529795733 16:93.7966244355 17:87.7296701064 18:167.9538274486 19:85.2941098535 20:77.3747693782 21:91.8666800291 22:74.5030533191 23:82.7266107134 24:105.1165955749 
14363.6 1:20 2:24.6083136063 3:152.9798415335 4:20 5:20 6:226.5106523622 7:107.4276252921 8:135.5640885453 9:122.3303133665 10:20 11:20 12:134.2865235419 13:96.8481200121 14:80.0204503082 15:117.9277582844 16:84.7414133246 17:79.3715012435 18:145.7867223247 19:76.8036847193 20:111.8895935347 21:85.0115241793 22:64.3567146976 23:73.6659349386 24:82.9911672735 
9365.4 1:24.14788103 2:22.0251719208 3:112.7486043875 4:21.7628033135 5:20.980906299 6:231.2242812709 7:91.3249574763 8:99.8151044383 9:110.3113001626 10:24.038259555 11:22.440228336 12:165.0098830654 13:74.6138349782 14:64.1535187395 15:100.4440010491 16:60.6061888438 17:68.8261191152 18:125.4738572998 19:65.9688431358 20:81.4900675016 21:78.222611034 22:54.2988372148 23:62.5242738258 24:85.717051757 
9444.2 1:23.6418085781 2:24.0509080545 3:134.0940777936 4:22.8050511206 5:22.4845306642 6:232.5873385054 7:82.6245499526 8:123.4209699284 9:104.2855757327 10:23.6153233347 11:22.5022604878 12:168.0911376147 13:74.9351489519 14:68.6825142085 15:98.5018684351 16:61.6890044438 17:61.5831263413 18:122.2805029668 19:64.5775627049 20:99.1069140971 21:75.1366229071 22:51.8625635069 23:58.4934612929 24:87.0082899276 
6281.6 1:20.7340930666 2:27.4368317161 3:152.8604590674 4:23.0133458308 5:21.948309609 6:233.7460371625 7:61.9284686881 8:94.4034059597 9:112.4296363568 10:24.4075952592 11:21.5558115558 12:137.6760602092 13:77.5313390651 14:71.6682077022 15:95.3841461342 16:65.0547359141 17:65.8593468268 18:110.9873638174 19:60.3200427679 20:74.2791581272 21:79.1332244131 22:65.1092316122 23:67.0477540326 24:90.7960181366 
6653.6 1:20 2:20 3:98.827404901 4:20 5:20.6457649246 6:192.1325148276 7:85.5544099939 8:102.3440186889 9:96.3178769316 10:23.8826971487 11:118.1272690243 12:117.8752390493 13:82.4984095713 14:78.7493497836 15:131.3716353046 16:75.72808517 17:76.020103605 18:130.2238746936 19:72.5031751145 20:107.4009563131 21:73.6034547745 22:59.0285090027 23:65.1751389164 24:87.3867262427 
7841.6 1:22.5276096289 2:21.4570728185 3:133.9255835962 4:20 5:20 6:180.5288799124 7:96.5082245718 8:116.2984146289 9:104.1068121038 10:23.8199183919 11:64.1397291681 12:159.3529202883 13:86.7886372766 14:91.2332084228 15:138.7969158145 16:90.632403322 17:91.4108242471 18:146.7560858905 19:87.6448655796 20:128.8162504409 21:88.0257957495 22:79.5873278612 23:74.0484121735 24:108.6877982416 
10111.1 1:20 2:20 3:157.6691159612 4:20 5:20 6:243.9767847535 7:104.3663100321 8:104.4537388586 9:152.219111174 10:20 11:20.988606475 12:134.8661717462 13:98.1407477842 14:94.3849146225 15:122.6567223951 16:93.9462188598 17:86.8578859039 18:166.4253019504 19:85.3232253231 20:137.5557715202 21:92.0835182141 22:80.8128089465 23:83.1234654478 24:107.3727064474 
11884 1:20 2:20 3:112.0979548203 4:20 5:20 6:284.6752347994 7:96.8517227893 8:80.9935998067 9:153.4473467237 10:20 11:21.2267840601 12:126.411438394 13:100.6264316974 14:99.415481979 15:130.4836598937 16:97.3742858998 17:91.542125696 18:168.1298033204 19:85.499877112 20:107.6154285158 21:101.3609627753 22:81.5049301768 23:81.5995420323 24:102.4305943978 
14290.6 1:20 2:20 3:169.3236755509 4:20 5:20 6:201.1751701085 7:102.225004648 8:89.2865761668 9:187.759332525 10:20 11:20 12:228.3246898497 13:121.8494022552 14:114.8591042154 15:112.6991955493 16:98.1185117177 17:103.4755328754 18:177.9230117445 19:91.8210822251 20:145.2403464582 21:108.98669021 22:82.9498365923 23:99.556706258 24:134.4127077646 
11596.9 1:20 2:20 3:113.9846871417 4:20 5:20 6:251.0869365961 7:85.5963358653 8:57.0043107188 9:182.7454386948 10:20 11:20 12:138.2591587756 13:102.19919431 14:86.7639280457 15:102.5094009579 16:83.6584017 17:88.9216876706 18:155.6570421148 19:79.7064759137 20:104.4847180803 21:103.6598331243 22:76.5034886524 23:80.022157686 24:99.7870347897 
13148 1:20 2:20 3:89.5715397474 4:20 5:20 6:203.3529487758 7:84.7126648872 8:52.3129127395 9:192.9390604634 10:20 11:20 12:185.5465566924 13:112.9967823175 14:86.8839189055 15:102.5486509458 16:80.725899619 17:86.6606882426 18:147.7499185824 19:82.0583000839 20:81.6909716819 21:112.5060042102 22:68.2582470867 23:73.0715000558 24:98.3979652594 
13337.2 1:20 2:20 3:96.5669516529 4:20 5:20.6344136152 6:207.0367213722 7:91.1877217085 8:49.4943398161 9:187.1076892665 10:20 11:20 12:121.669848706 13:124.1221131886 14:85.2204928331 15:124.2775635329 16:78.3169878035 17:83.0096663815 18:138.4470647378 19:80.6422867523 20:71.4462006081 21:112.7364439193 22:70.2595273619 23:72.9736297698 24:100.2957286676 
13465.1 1:20 2:20 3:94.6215793071 4:20 5:20 6:231.0608615306 7:92.8106439488 8:57.8079210058 9:192.1061986408 10:20 11:20 12:114.8612303634 13:120.7658129247 14:84.9034428628 15:122.2989223386 16:77.094739226 17:79.3691166438 18:145.7427228748 19:75.9186279196 20:83.8326110582 21:107.048376707 22:69.5884325722 23:70.3194065608 24:97.3166122933 
12061 1:20 2:20 3:151.6418275098 4:20 5:20 6:256.2480020709 7:89.8427135113 8:79.4468164006 9:171.5292593953 10:20 11:20 12:159.1273102487 13:124.1481739786 14:102.667072324 15:122.0356169966 16:91.3960809184 17:86.9770305588 18:174.9587705546 19:82.2154863755 20:106.3372096903 21:99.9416344762 22:80.3102372994 23:91.2054309061 24:106.275474371 
10290.1 1:20 2:20 3:150.0352447299 4:20 5:20 6:218.5272652507 7:87.2395923459 8:107.3356591908 9:143.0324520657 10:20 11:20 12:101.1675812795 13:106.4225001779 14:99.6740807236 15:140.9468138087 16:91.2097592355 17:82.7733696765 18:161.9678816011 19:80.8567165031 20:116.0692001335 21:85.1684809329 22:75.321413992 23:81.2774477826 24:94.1955109933 
10838.2 1:24.9962468407 2:20 3:131.1979593766 4:20 5:20 6:222.9820798922 7:89.6095054846 8:77.4083768602 9:124.4070451217 10:20 11:20 12:123.7417419426 13:100.837730828 14:81.4771264275 15:123.1992692878 16:83.9168664266 17:79.0080890503 18:149.3426143521 19:79.1995091793 20:78.2421492183 21:86.8334298852 22:63.2190752454 23:75.0144438266 24:88.1020697631 
8328.7 1:24.5590346986 2:23.4121172081 3:128.9937881759 4:22.3311257165 5:23.7640873848 6:214.267867381 7:63.7618082417 8:113.0918995106 9:94.8960491627 10:21.2769249976 11:20.429774481 12:156.9492625715 13:67.9849343963 14:62.0730170051 15:98.7920978368 16:58.0314661959 17:71.0344976946 18:128.9753360609 19:59.6505112151 20:102.7812929412 21:63.6885471926 22:55.2934001554 23:58.8991540594 24:90.0646065372 
7637.8 1:22.4684115427 2:22.3393114008 3:89.1872055122 4:21.9779186842 5:20.6926321103 6:163.3921994133 7:70.8382807699 8:72.6112199771 9:97.1835360665 10:22.1538426798 11:21.164779804 12:119.1287938705 13:70.3245752247 14:63.3672038971 15:95.0806008799 16:62.8222899002 17:66.9524923617 18:136.6136721308 19:61.8928989802 20:71.5296943364 21:65.364531557 22:49.8787557419 23:57.3896974169 24:77.1434742512 
6994.3 1:23.3495436849 2:20 3:157.1611685374 4:20 5:22.2877974872 6:243.1246045945 7:63.5454845242 8:109.8182531352 9:106.3307205486 10:23.2488833701 11:22.1306591794 12:144.0581742586 13:68.4668773174 14:60.6933948727 15:87.9040125604 16:57.1516662423 17:56.5755198874 18:111.227870095 19:56.3409073666 20:78.8029271185 21:69.6847599198 22:55.2380048358 23:59.3393734059 24:84.4341796359 
2526.1 1:22.5671506834 2:24.1231980232 3:77.6300090111 4:22.2948715494 5:21.3690173825 6:86.7616697604 7:37.8395440568 8:58.7221060867 9:78.7289101309 10:22.3993601329 11:32.3209206006 12:66.2164419512 13:43.7886276316 14:46.6011691112 15:54.6399715679 16:46.4583247397 17:43.4110259137 18:77.7072514177 19:36.0946741578 20:47.5866428542 21:44.8690286453 22:37.1285645567 23:37.8814113345 24:42.130568971 
2943 1:22.9099343326 2:22.7943898773 3:90.220321686 4:22.6997172088 5:20.7800717228 6:95.3040209201 7:36.4800758718 8:66.8720871237 9:78.5805893544 10:23.454906758 11:42.8178852333 12:71.636610725 13:43.8565950458 14:48.8731026932 15:62.3770899615 16:47.3013994619 17:42.3944880833 18:88.6037146468 19:34.9487967666 20:51.271058441 21:41.7943639184 22:35.8393031748 23:39.2540447173 24:47.5446857409 
5169 1:23.2028326357 2:22.3509155235 3:128.6979310588 4:25.7949770513 5:22.2960842948 6:190.1144313485 7:64.085539276 8:88.3653268402 9:110.0224755987 10:21.9201217892 11:21.0465544606 12:95.4743001074 13:63.3358869731 14:76.0425039183 15:104.6415915732 16:65.2949159428 17:69.9651031191 18:137.3645309968 19:62.3766208547 20:107.2074290346 21:64.1375587971 22:63.2151119468 23:66.3669335231 24:86.3427460977 
6496.7 1:20 2:20 3:130.2396557019 4:20 5:20 6:265.2447031914 7:80.6049931641 8:101.3979332136 9:141.9400424759 10:23.4074332927 11:23.1058550357 12:115.8300525358 13:79.9614652615 14:83.1530295122 15:132.0423410598 16:74.6127512884 17:79.508420704 18:176.4701024652 19:71.4273574449 20:117.6399476279 21:79.0520572731 22:67.7281386231 23:79.3311216283 24:107.0336109519 
8803.1 1:20 2:20 3:110.0514517996 4:20 5:20 6:227.2298177442 7:73.4966763964 8:73.7007548044 9:167.4458850945 10:20 11:20 12:147.3297195277 13:86.5372753694 14:97.8611525423 15:119.4020706059 16:84.325561372 17:87.9043208172 18:171.8941973894 19:76.5137197393 20:77.1883253579 21:98.2517605279 22:79.2252527287 23:96.1964882695 24:122.6425768457 
8762 1:20 2:20 3:140.4959626753 4:20 5:20 6:207.5716833563 7:81.5387432438 8:102.3918657645 9:150.9445079547 10:20 11:20 12:130.4630805937 13:90.7316940647 14:74.8776915838 15:101.0184844346 16:62.3786184084 17:75.5984489242 18:145.0918919878 19:67.976405068 20:128.2438275082 21:93.2864929984 22:63.4053310193 23:77.360814889 24:95.3569460527 
7602.5 1:20 2:20 3:100.4463147142 4:20 5:20 6:205.0983489908 7:70.2484071666 8:75.6740440085 9:147.1441302442 10:20 11:20 12:106.9727651815 13:91.5470134379 14:70.0206727164 15:108.0836864198 16:62.6087642224 17:73.5048363215 18:150.7305368906 19:61.919910064 20:107.3282643274 21:87.952330549 22:62.7977832766 23:72.4651856524 24:99.3700325319 
9189.5 1:20 2:20 3:137.5743726826 4:20 5:20 6:208.8715366941 7:68.3518299821 8:83.6431618268 9:154.0980324506 10:20 11:20 12:163.254017776 13:97.5741922951 14:70.8560547253 15:93.492125452 16:65.5049304553 17:71.4699363553 18:123.4941526622 19:63.9591827511 20:82.3500926776 21:86.967656948 22:60.3630131345 23:62.6167012051 24:110.0528381798 
5128.1 1:20 2:20 3:143.6645170947 4:20 5:20 6:225.6412247669 7:58.6415313608 8:86.3754570225 9:145.2353049617 10:20 11:20 12:162.9859227803 13:101.1055205011 14:85.9162942605 15:117.2655809317 16:80.0230668819 17:75.450383508 18:140.7969431381 19:65.5517537708 20:97.4659858962 21:81.2803924136 22:72.3590903504 23:73.8502110899 24:114.1940917061 
6278.8 1:20 2:21.8616444075 3:155.2062751915 4:21.7246985615 5:20 6:213.6809499788 7:82.958015257 8:138.4158063001 9:146.5214713472 10:20 11:20 12:124.0335310741 13:87.4256617564 14:88.99143922 15:123.2874303683 16:83.5079198092 17:84.8419353823 18:168.1906764783 19:79.6353801005 20:138.3966488989 21:79.1862323313 22:77.5119132538 23:81.2619659905 24:105.0622673153 
6867.5 1:20 2:23.5549865153 3:121.5378997088 4:24.1036775643 5:20 6:225.0797184977 7:70.3750549937 8:77.2469338104 9:120.1027795746 10:20 11:20 12:121.0394127183 13:83.4318823492 14:80.7350136106 15:114.6033400168 16:79.7290132393 17:84.18968058 18:151.9761623486 19:68.6793113506 20:75.3959679072 21:79.4428594838 22:67.8406162362 23:74.2616570716 24:92.355592684 
4809.4 1:22.2832787072 2:21.5304453193 3:108.7511622892 4:25.0327097634 5:20 6:188.7810894883 7:83.8832586968 8:123.8278005674 9:115.6102901328 10:20 11:20 12:160.7973616686 13:83.7153275983 14:76.6319550897 15:108.5048988382 16:73.5492658548 17:76.2428724534 18:148.802729972 19:75.7100808845 20:127.3640561631 21:73.2957224952 22:70.2010463093 23:76.9989920116 24:98.5778163433 
7430.1 1:21.3161354335 2:21.4143228153 3:129.7370707264 4:23.392040402 5:21.9468481636 6:210.8522360592 7:70.7721205298 8:97.9281786764 9:106.835020415 10:21.9519087463 11:25.536321973 12:131.3125668276 13:71.3539278841 14:71.8062400248 15:105.9867396159 16:70.0581981627 17:71.6938068515 18:141.3112814964 19:61.9183485942 20:97.7108382706 21:70.8393350103 22:57.5052738463 23:65.092550564 24:85.5663565427 
6327.7 1:20 2:21.016427625 3:91.1043943308 4:21.8024423127 5:20.6462654176 6:206.0012173481 7:61.2221206441 8:91.9651697957 9:86.8863269901 10:22.2395479765 11:20 12:138.12570917 13:60.25973338 14:53.7298079131 15:90.6567975094 16:49.1358356646 17:57.8599124127 18:122.0764449363 19:50.4427383771 20:72.2363747492 21:56.8655439341 22:45.3671853723 23:48.3795334367 24:83.7246946436 
1792.1 1:20.6938820283 2:20 3:65.3801734318 4:21.013543018 5:20.7213711991 6:69.4396373102 7:27.8962338365 8:48.7967890604 9:78.4131038392 10:21.3820575785 11:26.6887662921 12:54.2375724129 13:36.0781457261 14:43.4985348539 15:43.1112250249 16:41.634373017 17:39.0136891379 18:64.4984244813 19:32.4307960782 20:35.8948674574 21:36.0387904874 22:33.0084663937 23:34.2003871169 24:38.1979405323 
839.8 1:21.5959465161 2:20.9053080303 3:89.4976258528 4:21.382502952 5:20 6:161.027724445 7:38.5832045166 8:79.371472383 9:80.9422084763 10:20.0710678119 11:107.5516321824 12:102.0496326551 13:43.341421719 14:45.138748297 15:102.1415501046 16:41.8229010423 17:40.4863599027 18:111.344895714 19:38.4644575194 20:82.3180871056 21:34.640851098 22:36.9903351336 23:58.4847130243 24:79.3271246008 
934.5 1:23.6737457146 2:22.5547562128 3:80.2091397537 4:21.4928964708 5:24.063418358 6:158.7904498339 7:41.5726232975 8:60.7735905237 9:73.8672384016 10:21.9625886997 11:39.3377564814 12:103.5023714961 13:41.8851441747 14:43.4576451268 15:101.9750611532 16:41.9985549027 17:43.2807801177 18:112.131369826 19:39.2100336225 20:55.7858833551 21:37.3499505053 22:37.3864812908 23:40.3034273087 24:82.0046612265 
557 1:26.2520619561 2:20.6055512755 3:102.2863158411 4:21.878609271 5:21.9107963629 6:169.0404642372 7:41.1541169713 8:59.2945582387 9:84.7318926185 10:21.8088522098 11:39.0493275017 12:110.9791187674 13:49.5115513442 14:54.8827070086 15:103.3104767359 16:51.059495177 17:52.3306928127 18:112.9787723635 19:44.1984559574 20:54.1705129414 21:42.1122192539 22:46.2248831887 23:48.0222162954 24:83.5358589029 
1502.5 1:23.3329452742 2:26.0122862144 3:87.7472414337 4:22.16987299 5:23.3486520348 6:191.2201125514 7:33.9782797718 8:67.3223865722 9:94.5826224024 10:23.4877158492 11:23.1702450704 12:115.0559890059 13:49.324824726 14:55.6053561521 15:121.9807094203 16:49.5141259105 17:52.0839705929 18:121.2015782084 19:40.8254132504 20:54.1160867305 21:45.8141147067 22:45.4057089421 23:45.8878901236 24:93.2716141197 
1626.2 1:21.1231056256 2:21 3:104.9987431119 4:21.8148217931 5:22.070782282 6:159.5471865649 7:27.3018358009 8:89.7288225505 9:96.8543907597 10:21.910452975 11:21.2865415281 12:117.1926042981 13:43.7918176108 14:45.6151617225 15:93.7841815991 16:42.4071944829 17:40.7170693603 18:112.1067180017 19:34.1897404384 20:100.3780656573 21:39.8542368759 22:36.4522600083 23:39.5667371105 24:81.2368402893 
